# ALICE 0-5% hadron yield data used in 1512.08046
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0            733             54
              1           -211              0              3              0            732             52
              1            321              0              3              0            109              9
              1           -321              0              3              0            109              9
              1           2212              0              3              0             34              3
              1          -2212              0              3              0             33              3
              1           3122              0              3              0             26              3
              1           3312              0              3              0           3.57           0.27
              1          -3312              0              3              0           3.47           0.26
              1          33340              0              3              0           1.26           0.22
              1            310              0              3              0            110             10
              1            333              0              3              0           13.8          1.772
