# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1              1              0              3              0            349        5.09902
              1            211              0              3              0            446         22.561
              1           -211              0              3              0            474        23.5372
              1            321              0              3              0           76.9        4.47214
              1           -321              0              3              0           32.4         1.7088
              1           3122              0              3              0           50.1        5.53263
              1          -3122              0              3              0           1.82       0.199249
              1           3312              0              3              0            3.8       0.663099
              1          -3312              0              3              0           0.58       0.143178
              1            333              0              3              0           4.04       0.363593
