# NA49 data (and references) at https://edms.cern.ch/document/1075059/4
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1            211              0              3              0            132              7
              1           -211              0              3              0          140.4              7
              1            321              0              3              0           24.6            1.2
              1           -321              0              3              0           11.7            0.6
              1           2212              0              3              0           30.1              1
              1          -2212              0              3              0           0.87           0.07
              1           3122              0              3              0           12.9              1
              1          -3122              0              3              0           0.82           0.09
              1            333              0              3              0           1.52           0.25
              1           3312              0              3              0           1.22           0.19
              1          -3312              0              3              0           0.21           0.04
