# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
            111       0.301381
            211       0.311636
           -211       0.311636
        9000221        1.06059
            321         1.1023
           -321         1.1023
           -311        1.11108
            311        1.11108
            221        1.22328
            113        1.73102
            213        1.73102
           -213        1.73102
            223        1.74752
           -323         1.9995
            323         1.9995
           -313        1.99961
            313        1.99961
           2212          2.095
          -2212          2.095
          -2112        2.09789
           2112        2.09789
            331        2.13856
        9000111        2.18817
        9000211        2.18817
       -9000211        2.18817
        9010221         2.2105
            333        2.27628
           3122        2.49112
          -3122        2.49112
          10223        2.60348
          -3222        2.65566
           3222        2.65566
           3212        2.66296
          -3212        2.66296
           3112         2.6737
          -3112         2.6737
          10113        2.74527
          10213        2.74527
         -10213        2.74527
          20113        2.74638
          20213        2.74638
         -20213        2.74638
          -2114        2.75085
          -1114        2.75085
           2224        2.75085
           2114        2.75085
          -2224        2.75085
           1114        2.75085
          -2214        2.75085
           2214        2.75085
         -10313        2.79774
          10323        2.79774
         -10323        2.79774
          10313        2.79774
            225        2.84798
          20223        2.86227
         100221        2.88928
        -100211        2.90268
         100211        2.90268
         100111        2.90268
           3322        2.93586
          -3322        2.93586
           -215        2.94041
            215        2.94041
            115        2.94041
           3312        2.95115
          -3312        2.95115
          10221        3.01432
       -9000213        3.02325
        9000213        3.02325
        9000113        3.02325
          -3224        3.08756
           3224        3.08756
           3214        3.08957
          -3214        3.08957
           3114        3.09738
          -3114        3.09738
         -20323        3.13266
          20323        3.13266
         -20313        3.13266
          20313        3.13266
          13122        3.13735
         -13122        3.13735
        9020221        3.14561
        -100323        3.15722
         100323        3.15722
        -100313        3.15722
         100313        3.15722
          10333        3.16169
         100223        3.16839
          20333        3.18469
           -325        3.18692
            325        3.18692
         -10311        3.19295
          10311        3.19295
         -10321        3.19295
          10321        3.19295
           -315        3.19831
            315        3.19831
          12212        3.21528
          12112        3.21528
         -12112        3.21528
         -12212        3.21528
         100113         3.2711
