# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
            111       0.301387
            211       0.311636
           -211       0.311636
        9000221        1.08069
           -321         1.1023
            321         1.1023
            130        1.11121
            310        1.11121
            311        1.11121
           -311        1.11121
            221        1.22203
            213        1.72174
           -213        1.72174
            113        1.72174
            223        1.74735
           -323        1.99093
            323        1.99093
            313        2.00084
           -313        2.00084
           2212          2.095
          -2212          2.095
           2112        2.09788
          -2112        2.09788
            331        2.13856
        9010221        2.18817
        9000211        2.19867
       -9000211        2.19867
        9000111        2.19867
            333        2.27628
          -3122        2.49112
           3122        2.49112
          10223        2.61241
           3222        2.65566
          -3222        2.65566
          -3212        2.66296
           3212        2.66296
          -3112         2.6737
           3112         2.6737
         -10213        2.74527
          10213        2.74527
          10113        2.74527
         -20213        2.74638
          20213        2.74638
          20113        2.74638
           2224        2.75085
          -2224        2.75085
           1114        2.75085
          -1114        2.75085
           2214        2.75085
          -2214        2.75085
          -2114        2.75085
           2114        2.75085
          10323        2.84239
         -10313        2.84239
          10313        2.84239
         -10323        2.84239
            225        2.84775
          20223        2.86227
         100221        2.88705
         100111        2.90268
        -100211        2.90268
         100211        2.90268
          -3322        2.93579
           3322        2.93579
           -215        2.94287
            215        2.94287
            115        2.94287
          -3312        2.95026
           3312        2.95026
          10221        3.01432
        9000213        3.01655
       -9000213        3.01655
        9000113        3.01655
          -3224        3.08756
           3224        3.08756
          -3214        3.08957
           3214        3.08957
          -3114        3.09738
           3114        3.09738
         -20313        3.13043
         -20323        3.13043
          20313        3.13043
          20323        3.13043
         -13122        3.13936
          13122        3.13936
        9020221        3.14561
          10321        3.15276
         -10321        3.15276
         -10311        3.15276
          10311        3.15276
        -100323        3.15722
         100323        3.15722
        -100313        3.15722
         100313        3.15722
         100223        3.16839
            325        3.18312
           -325        3.18312
          20333        3.18469
            315        3.19831
           -315        3.19831
         -12212        3.21528
          12212        3.21528
         -12112        3.21528
          12112        3.21528
        -100213         3.2711
         100213         3.2711
         100113         3.2711
          10211        3.29119
         -10211        3.29119
          10111        3.29119
         100331        3.29566
        9030221        3.36488
          -3124        3.39279
           3124        3.39279
          -2124         3.3939
           2124         3.3939
          -1214         3.3939
           1214         3.3939
            335        3.40507
           3324        3.42025
          -3324        3.42025
          22112        3.42739
         -22112        3.42739
         -22212        3.42739
          22212        3.42739
           3314        3.42739
          -3314        3.42739
         -31114        3.57253
         -32224        3.57253
          32224        3.57253
         -32214        3.57253
