# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
           2212       0.452389
          -2212       0.452389
          -2112       0.452389
           2112       0.452389
           3122       0.452389
          -3122       0.452389
          -3222       0.452389
           3222       0.452389
           3212       0.452389
          -3212       0.452389
           3112       0.452389
          -3112       0.452389
          -2114       0.452389
          -1114       0.452389
           2224       0.452389
           2114       0.452389
          -2224       0.452389
           1114       0.452389
          -2214       0.452389
           2214       0.452389
           3322       0.452389
          -3322       0.452389
           3312       0.452389
          -3312       0.452389
          -3224       0.452389
           3224       0.452389
           3214       0.452389
          -3214       0.452389
           3114       0.452389
          -3114       0.452389
          13122       0.452389
         -13122       0.452389
          12212       0.452389
          12112       0.452389
         -12112       0.452389
         -12212       0.452389
          -1214       0.452389
           2124       0.452389
           1214       0.452389
          -2124       0.452389
          -3124       0.452389
           3124       0.452389
         -22112       0.452389
          22212       0.452389
          22112       0.452389
         -22212       0.452389
           3324       0.452389
          -3324       0.452389
           3314       0.452389
          -3314       0.452389
         -32114       0.452389
          32214       0.452389
         -31114       0.452389
          31114       0.452389
          32114       0.452389
         -32224       0.452389
          32224       0.452389
         -32214       0.452389
         -23122       0.452389
          23122       0.452389
           2122       0.452389
          -2222       0.452389
           1212       0.452389
          -1112       0.452389
           2222       0.452389
          -2122       0.452389
          -1212       0.452389
           1112       0.452389
         -32212       0.452389
          32212       0.452389
          32112       0.452389
         -32112       0.452389
          13212       0.452389
         -13212       0.452389
          13222       0.452389
          13112       0.452389
         -13112       0.452389
         -13222       0.452389
           3334       0.452389
          -3334       0.452389
         -33122       0.452389
          33122       0.452389
           2116       0.452389
         -13114       0.452389
         -13224       0.452389
          13224       0.452389
         -13214       0.452389
          13214       0.452389
          13114       0.452389
          -2116       0.452389
           2216       0.452389
          -2216       0.452389
         -12116       0.452389
          12116       0.452389
          12216       0.452389
         -12216       0.452389
         -13124       0.452389
         203312       0.452389
        -203322       0.452389
         203322       0.452389
