# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
           2212       0.452389
          -2212       0.452389
           2112       0.452389
          -2112       0.452389
          -3122       0.452389
           3122       0.452389
           3222       0.452389
          -3222       0.452389
          -3212       0.452389
           3212       0.452389
          -3112       0.452389
           3112       0.452389
           2224       0.452389
          -2224       0.452389
           1114       0.452389
          -1114       0.452389
           2214       0.452389
          -2214       0.452389
          -2114       0.452389
           2114       0.452389
          -3322       0.452389
           3322       0.452389
          -3312       0.452389
           3312       0.452389
          -3224       0.452389
           3224       0.452389
          -3214       0.452389
           3214       0.452389
          -3114       0.452389
           3114       0.452389
         -13122       0.452389
          13122       0.452389
         -12212       0.452389
          12212       0.452389
         -12112       0.452389
          12112       0.452389
          -3124       0.452389
           3124       0.452389
          -2124       0.452389
           2124       0.452389
          -1214       0.452389
           1214       0.452389
           3324       0.452389
          -3324       0.452389
          22112       0.452389
         -22112       0.452389
         -22212       0.452389
          22212       0.452389
           3314       0.452389
          -3314       0.452389
         -31114       0.452389
         -32224       0.452389
          32224       0.452389
         -32214       0.452389
          32214       0.452389
         -32114       0.452389
          32114       0.452389
          31114       0.452389
         -23122       0.452389
          23122       0.452389
           2122       0.452389
          -2122       0.452389
           2222       0.452389
          -2222       0.452389
          -1112       0.452389
           1112       0.452389
           1212       0.452389
          -1212       0.452389
         -32112       0.452389
          32112       0.452389
         -32212       0.452389
          32212       0.452389
         -13212       0.452389
         -13112       0.452389
          13212       0.452389
         -13222       0.452389
          13222       0.452389
          13112       0.452389
          13114       0.452389
         -13214       0.452389
          13224       0.452389
          13214       0.452389
         -13224       0.452389
         -33122       0.452389
          33122       0.452389
         -13114       0.452389
          -3334       0.452389
           3334       0.452389
          -2216       0.452389
          -2116       0.452389
           2116       0.452389
           2216       0.452389
          12116       0.452389
         -12116       0.452389
          12216       0.452389
         -12216       0.452389
         -23314       0.452389
          23324       0.452389
         -23324       0.452389
          13124       0.452389
         -13124       0.452389
          23314       0.452389
         -11114       0.452389
          12214       0.452389
         -12214       0.452389
          22124       0.452389
         -22124       0.452389
          12224       0.452389
         -12224       0.452389
          21214       0.452389
         -21214       0.452389
          12114       0.452389
         -12114       0.452389
          11114       0.452389
         -42212       0.452389
          42212       0.452389
         -42112       0.452389
          42112       0.452389
         -31214       0.452389
         -32124       0.452389
          32124       0.452389
          31214       0.452389
         -23222       0.452389
          23212       0.452389
         -23212       0.452389
          23112       0.452389
         -23112       0.452389
          23222       0.452389
           3116       0.452389
           3216       0.452389
          -3216       0.452389
          -3116       0.452389
           3226       0.452389
          -3226       0.452389
          43122       0.452389
         -43122       0.452389
          53122       0.452389
         -53122       0.452389
           3126       0.452389
          -3126       0.452389
          13324       0.452389
         -13324       0.452389
          13314       0.452389
         -13314       0.452389
          13126       0.452389
         -13126       0.452389
        2211875       0.452389
       -2111875       0.452389
        2111875       0.452389
       -2211875       0.452389
    -1000010020       0.904779
     1000010020       0.904779
          23124       0.452389
         -23124       0.452389
       -2211900       0.452389
        2111900       0.452389
       -2111900       0.452389
        2211900       0.452389
          -1116       0.452389
           1116       0.452389
           2126       0.452389
          -2126       0.452389
           2226       0.452389
          -2226       0.452389
           1216       0.452389
          -1216       0.452389
          22222       0.452389
         -22122       0.452389
          21112       0.452389
         -21112       0.452389
          22122       0.452389
         -21212       0.452389
          21212       0.452389
         -22222       0.452389
          13216       0.452389
         -13216       0.452389
          13226       0.452389
         -13226       0.452389
         -13116       0.452389
          13116       0.452389
          22224       0.452389
          22114       0.452389
         -22114       0.452389
          22214       0.452389
         -22214       0.452389
          21114       0.452389
         -21114       0.452389
         -22224       0.452389
         -12226       0.452389
          11116       0.452389
         -11116       0.452389
          12226       0.452389
          11216       0.452389
         -11216       0.452389
          12126       0.452389
         -12126       0.452389
         -23214       0.452389
          23114       0.452389
         -23224       0.452389
          23224       0.452389
         -23114       0.452389
          23214       0.452389
          -2218       0.452389
           1118       0.452389
          -1118       0.452389
           2228       0.452389
          -2228       0.452389
           2118       0.452389
          -2118       0.452389
          33314       0.452389
         -33314       0.452389
          33324       0.452389
         -33324       0.452389
           2218       0.452389
           3326       0.452389
          -3316       0.452389
           3316       0.452389
          -3326       0.452389
          -3118       0.452389
           3118       0.452389
           3218       0.452389
          -3218       0.452389
          -3228       0.452389
           3228       0.452389
    -1010000020       0.904779
     1010000020       0.904779
           3128       0.452389
          -3128       0.452389
          23126       0.452389
         -23126       0.452389
           1218       0.452389
          -1218       0.452389
           2128       0.452389
          -2128       0.452389
            -92       0.452389
             91       0.452389
             92       0.452389
            -91       0.452389
    -1020000020       0.904779
     1020000020       0.904779
         -33214       0.452389
          33114       0.452389
         -33114       0.452389
          33214       0.452389
          33224       0.452389
             93       0.452389
            -94       0.452389
             94       0.452389
         -33224       0.452389
            -93       0.452389
         -13334       0.452389
          13334       0.452389
    -1010010020       0.904779
     1010010020       0.904779
           -911       0.452389
            911       0.452389
             99       0.452389
            -99       0.452389
            910       0.452389
           -910       0.452389
             97       0.452389
            -98       0.452389
            -97       0.452389
             98       0.452389
            -95       0.452389
             95       0.452389
             96       0.452389
            -96       0.452389
     1000020030        1.35717
    -1000020030        1.35717
     1000010030        1.35717
    -1000010030        1.35717
     1010010030        1.35717
    -1010010030        1.35717
     1000020040        1.80956
    -1000020040        1.80956
     1010020040        1.80956
    -1010020040        1.80956
     1010010040        1.80956
    -1010010040        1.80956
     1010020050        2.26195
    -1010020050        2.26195
