# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
            111       0.283657
            211       0.293309
           -211       0.293309
        9000221       0.998223
            321        2.80539
           -321        2.80539
           -311        2.78321
            311        2.78321
            221        1.15134
            113        1.62923
            213        1.62923
           -213        1.62923
            223        1.64476
           -323        1.54657
            323        1.54657
           -313        1.54649
            313        1.54649
           2212         1.9718
          -2212         1.9718
          -2112        1.97452
           2112        1.97452
            331         2.0128
        9000111        2.05949
        9000211        2.05949
       -9000211        2.05949
        9010221        2.08051
            333        2.14242
           3122        1.24136
          -3122        1.24136
          10223        2.45037
          -3222        1.16445
           3222        1.16445
           3212        1.16125
          -3212        1.16125
           3112        1.15659
          -3112        1.15659
          10113        2.58382
          10213        2.58382
         -10213        2.58382
          20113        2.58487
          20213        2.58487
         -20213        2.58487
          -2114        2.58908
          -1114        2.58908
           2224        2.58908
           2114        2.58908
          -2224        2.58908
           1114        2.58908
          -2214        2.58908
           2214        2.58908
         -10313        1.10531
          10323        1.10531
         -10323        1.10531
          10313        1.10531
            225        2.68049
          20223        2.69394
         100221        2.71937
        -100211        2.73198
         100211        2.73198
         100111        2.73198
           3322        1.05331
          -3322        1.05331
           -215        2.76749
            215        2.76749
            115        2.76749
           3312        1.04785
          -3312        1.04785
          10221        2.83706
       -9000213        2.84546
        9000213        2.84546
        9000113        2.84546
          -3224        1.00156
           3224        1.00156
           3214        1.00091
          -3214        1.00091
           3114       0.998383
          -3114       0.998383
         -20323       0.987139
          20323       0.987139
         -20313       0.987139
          20313       0.987139
          13122       0.985664
         -13122       0.985664
        9020221        2.96062
        -100323        0.97946
         100323        0.97946
        -100313        0.97946
         100313        0.97946
          10333        2.97576
         100223        2.98206
          20333         2.9974
           -325       0.970333
            325       0.970333
         -10311       0.968501
          10311       0.968501
         -10321       0.968501
          10321       0.968501
           -315       0.966878
            315       0.966878
          12212        3.02619
          12112        3.02619
         -12112        3.02619
         -12212        3.02619
         100113        3.07873
        -100213        3.07873
         100213        3.07873
          10111        3.09764
          10211        3.09764
         -10211        3.09764
         100331        3.09975
        9030221        3.16489
          -1214        3.18381
           2124        3.18381
           1214        3.18381
          -2124        3.18381
            335        3.18885
          -3124       0.911755
           3124       0.911755
         -22112        3.21533
          22212        3.21533
          22112        3.21533
         -22212        3.21533
           3324       0.904137
          -3324       0.904137
           3314       0.902252
          -3314       0.902252
         -32114        3.29939
          32214        3.29939
         -31114        3.29939
          31114        3.29939
          32114        3.29939
         -32224        3.29939
          32224        3.29939
         -32214        3.29939
         -23122       0.865598
          23122       0.865598
           2122        3.38345
          -2222        3.38345
           1212        3.38345
          -1112        3.38345
           2222        3.38345
          -2122        3.38345
          -1212        3.38345
           1112        3.38345
          10225        3.39816
         -32212        3.46751
          32212        3.46751
          32112        3.46751
         -32112        3.46751
       -9020213        3.47802
        9020213        3.47802
        9020113        3.47802
       -9010213        3.48853
          13212       0.834311
         -13212       0.834311
          13222       0.834311
          13112       0.834311
        9010213        3.48853
        9010113        3.48853
         -13112       0.834311
         -13222       0.834311
            227        3.50324
          30223        3.50954
         -10215         3.5108
          10215         3.5108
          10115         3.5108
           3334         0.8281
          -3334         0.8281
         -33122       0.827334
          33122       0.827334
           2116        3.52005
         -13114        0.82684
         -13224        0.82684
          13224        0.82684
         -13214        0.82684
          13214        0.82684
          13114        0.82684
          -2116        3.52005
           2216        3.52005
          -2216        3.52005
         100333        3.53056
         -12116        3.54107
          12116        3.54107
          12216        3.54107
