# List of eigenvolume parameters to be used in the Diagonal excluded-volume HRG model
# Only particles with a non-zero eigenvolume parameter are listed here
#           pdg      v_i[fm^3]
            111       0.283663
            211       0.293309
           -211       0.293309
        9000221        1.01714
           -321        2.80537
            321        2.80537
            130        1.04586
            310        1.04586
           -311        2.78288
            311        2.78288
            221        1.15016
            213        1.62048
           -213        1.62048
            113        1.62048
            223        1.64459
            323        1.55323
           -323        1.55323
           -313        1.54554
            313        1.54554
           2212         1.9718
          -2212         1.9718
          -2112        1.97451
           2112        1.97451
            331         2.0128
        9010221        2.05949
        9000211        2.06937
       -9000211        2.06937
        9000111        2.06937
            333        2.14242
          -3122        1.24136
           3122        1.24136
          10223        2.45878
           3222        1.16445
          -3222        1.16445
          -3212        1.16125
           3212        1.16125
           3112        1.15659
          -3112        1.15659
          10113        2.58382
          10213        2.58382
         -10213        2.58382
          20113        2.58487
          20213        2.58487
         -20213        2.58487
          -2214        2.58908
           2214        2.58908
          -1114        2.58908
           2114        2.58908
           1114        2.58908
          -2224        2.58908
           2224        2.58908
          -2114        2.58908
         -10313        1.08795
         -10323        1.08795
          10323        1.08795
          10313        1.08795
            225        2.68028
          20223        2.69394
         100221        2.71727
         100211        2.73198
        -100211        2.73198
         100111        2.73198
           3322        1.05333
          -3322        1.05333
            215        2.76981
           -215        2.76981
            115        2.76981
           3312        1.04817
          -3312        1.04817
          10221        2.83706
       -9000213        2.83916
        9000113        2.83916
        9000213        2.83916
          -3224        1.00156
           3224        1.00156
          -3214        1.00091
           3214        1.00091
          -3114       0.998383
           3114       0.998383
          20313       0.987843
         -20313       0.987843
         -20323       0.987843
          20323       0.987843
         -13122       0.985033
          13122       0.985033
        9020221        2.96062
         -10311       0.980847
          10321       0.980847
         -10321       0.980847
          10311       0.980847
        -100313        0.97946
         100313        0.97946
        -100323        0.97946
         100323        0.97946
         100223        2.98206
           -325        0.97149
            325        0.97149
          20333         2.9974
            315       0.966878
           -315       0.966878
          12212        3.02619
         -12212        3.02619
          12112        3.02619
         -12112        3.02619
         100213        3.07873
         100113        3.07873
        -100213        3.07873
         -10211        3.09764
          10211        3.09764
          10111        3.09764
         100331        3.10185
        9030221        3.16699
          -3124       0.911455
           3124       0.911455
          -2124        3.19431
           2124        3.19431
          -1214        3.19431
           1214        3.19431
            335        3.20482
           3324       0.904137
          -3324       0.904137
          -3314       0.902252
           3314       0.902252
         -22112        3.22584
          22112        3.22584
         -22212        3.22584
          22212        3.22584
         -32224        3.36244
          32224        3.36244
         -32214        3.36244
         -23122       0.865598
          32214        3.36244
         -32114        3.36244
          32114        3.36244
         -31114        3.36244
          31114        3.36244
          23122       0.865598
          10225        3.39816
          -2122        3.40447
           1212        3.40447
          -1212        3.40447
           2122        3.40447
           2222        3.40447
          -2222        3.40447
           1112        3.40447
          -1112        3.40447
          30223        3.46541
         -32112        3.46751
         -32212        3.46751
          32212        3.46751
          32112        3.46751
         -13212       0.834311
          13212       0.834311
          13222       0.834311
         -13222       0.834311
          13112       0.834311
         -13112       0.834311
        9010213        3.49273
        9010113        3.49273
       -9010213        3.49273
            227        3.50324
          13114       0.829315
         -13224       0.829315
          10115        3.50954
         -10215        3.50954
          33122       0.829315
         -13114       0.829315
          10215        3.50954
         -33122       0.829315
         -13214       0.829315
          13214       0.829315
          13224       0.829315
          -3334         0.8281
           3334         0.8281
           2216        3.52005
          -2216        3.52005
           2116        3.52005
          -2116        3.52005
         100333        3.53056
         -12116        3.53056
          12216        3.53056
         -12216        3.53056
          12116        3.53056
         -23324       0.819501
         -23314       0.819501
          13124       0.819501
          23314       0.819501
          23324       0.819501
         -13124       0.819501
            217        3.55367
            117        3.55367
           -217        3.55367
          30113        3.57259
          30213        3.57259
         -30213        3.57259
          12214        3.57259
         -12224        3.57259
          21214        3.57259
         -12114        3.57259
         -12214        3.57259
          22124        3.57259
         -22124        3.57259
          11114        3.57259
          12114        3.57259
         -11114        3.57259
         -21214        3.57259
          12224        3.57259
          42112         3.5936
         -42212         3.5936
         -42112         3.5936
          42212         3.5936
          10331        3.59991
          30313       0.806614
          30323       0.806614
         -30313       0.806614
         -30323       0.806614
         -32124        3.61462
          32124        3.61462
         -31214        3.61462
          31214        3.61462
          23222       0.791404
         -23222       0.791404
          23212       0.791404
         -23212       0.791404
          23112       0.791404
         -23112       0.791404
          10325       0.781137
         -10325       0.781137
          10315       0.781137
         -10315       0.781137
           3226       0.780257
          -3116       0.780257
           3116       0.780257
          -3226       0.780257
          -3216       0.780257
           3216       0.780257
           -327       0.779818
           -317       0.779818
            317       0.779818
            327       0.779818
          43122        0.76942
         -43122        0.76942
        -200211        3.78484
         200111        3.78484
         200211        3.78484
         -53122       0.765169
          53122       0.765169
          20315       0.762641
         -20325       0.762641
          20325       0.762641
         -20315       0.762641
          -3126       0.760965
           3126       0.760965
          13324       0.759713
         -13324       0.759713
          13314       0.759713
         -13314       0.759713
          13126       0.756807
         -13126       0.756807
            337        3.89622
           -411        3.91892
            411        3.91892
            421        3.92901
           -421        3.92901
        2211875        3.94035
       -2211875        3.94035
        2111875        3.94035
       -2111875        3.94035
     1000010020        3.94164
    -1000010020        3.94164
          23124       0.732781
         -23124       0.732781
         -20215        3.98238
          20215        3.98238
          20115        3.98238
       -2211900        3.99289
        2111900        3.99289
