# List of the van dar Waals interaction parameters to be used in the QvdW-HRG model
# Only particle pairs with a non-zero QvdW interaction are listed here
# pdg_i pdg_j b_{ij}[fm^3] a_{ij}[GeV*fm^3]
 2212 2212 3.42 0.329
 2212 2112 3.42 0.329
 2212 3122 3.42 0.329
 2212 3222 3.42 0.329
 2212 3212 3.42 0.329
 2212 3112 3.42 0.329
 2212 2224 3.42 0.329
 2212 2114 3.42 0.329
 2212 1114 3.42 0.329
 2212 2214 3.42 0.329
 2212 3322 3.42 0.329
 2212 3312 3.42 0.329
 2212 3224 3.42 0.329
 2212 3214 3.42 0.329
 2212 3114 3.42 0.329
 2212 13122 3.42 0.329
 2212 12212 3.42 0.329
 2212 12112 3.42 0.329
 2212 2124 3.42 0.329
 2212 1214 3.42 0.329
 2212 3124 3.42 0.329
 2212 22212 3.42 0.329
 2212 22112 3.42 0.329
 2212 3324 3.42 0.329
 2212 3314 3.42 0.329
 2212 32214 3.42 0.329
 2212 31114 3.42 0.329
 2212 32114 3.42 0.329
 2212 32224 3.42 0.329
 2212 23122 3.42 0.329
 2212 2122 3.42 0.329
 2212 1212 3.42 0.329
 2212 2222 3.42 0.329
 2212 1112 3.42 0.329
 2212 32212 3.42 0.329
 2212 32112 3.42 0.329
 2212 13212 3.42 0.329
 2212 13222 3.42 0.329
 2212 13112 3.42 0.329
 2212 3334 3.42 0.329
 2212 33122 3.42 0.329
 2212 2116 3.42 0.329
 2212 13224 3.42 0.329
 2212 13214 3.42 0.329
 2212 13114 3.42 0.329
 2212 2216 3.42 0.329
 2212 12116 3.42 0.329
 2212 12216 3.42 0.329
 2212 203312 3.42 0.329
 2212 203322 3.42 0.329
 2212 13124 3.42 0.329
 2212 12114 3.42 0.329
 2212 12214 3.42 0.329
 2212 12224 3.42 0.329
 2212 42112 3.42 0.329
 2212 42212 3.42 0.329
 2212 11114 3.42 0.329
 2212 32124 3.42 0.329
 2212 31214 3.42 0.329
 2212 22124 3.42 0.329
 2212 21214 3.42 0.329
 2212 23222 3.42 0.329
 2212 23212 3.42 0.329
 2212 23112 3.42 0.329
 2212 3216 3.42 0.329
 2212 3226 3.42 0.329
 2212 3116 3.42 0.329
 2212 53122 3.42 0.329
 2212 43122 3.42 0.329
 2212 3126 3.42 0.329
 2212 13314 3.42 0.329
 2212 13324 3.42 0.329
 2212 13126 3.42 0.329
 2212 12122 3.42 0.329
 2212 12222 3.42 0.329
 2212 11112 3.42 0.329
 2212 11212 3.42 0.329
 2212 9902114 3.42 0.329
 2212 9902214 3.42 0.329
 2212 1000010020 3.28946 0
 2212 9902112 3.42 0.329
 2212 2226 3.42 0.329
 2212 9902212 3.42 0.329
 2212 1216 3.42 0.329
 2212 2126 3.42 0.329
 2212 1116 3.42 0.329
 2212 23124 3.42 0.329
 2212 9912112 3.42 0.329
 2212 9912212 3.42 0.329
 2212 21112 3.42 0.329
 2212 21212 3.42 0.329
 2212 22122 3.42 0.329
 2212 22222 3.42 0.329
 2212 23224 3.42 0.329
 2212 23114 3.42 0.329
 2212 23214 3.42 0.329
 2212 13116 3.42 0.329
 2212 13216 3.42 0.329
 2212 13226 3.42 0.329
 2212 22114 3.42 0.329
 2212 21114 3.42 0.329
 2212 9912214 3.42 0.329
 2212 9912114 3.42 0.329
 2212 22224 3.42 0.329
 2212 22214 3.42 0.329
 2212 2228 3.42 0.329
 2212 2218 3.42 0.329
 2212 2118 3.42 0.329
 2212 1118 3.42 0.329
 2212 12226 3.42 0.329
 2212 12126 3.42 0.329
 2212 11216 3.42 0.329
 2212 11116 3.42 0.329
 2212 103316 3.42 0.329
 2212 103326 3.42 0.329
 2212 9903334 3.42 0.329
 2212 203326 3.42 0.329
 2212 203316 3.42 0.329
 2212 3118 3.42 0.329
 2212 3228 3.42 0.329
 2212 3218 3.42 0.329
 2212 1010010020 3.28946 0
 2212 1010000020 3.28946 0
 2212 23126 3.42 0.329
 2212 9922212 3.42 0.329
 2212 9902116 3.42 0.329
 2212 9922112 3.42 0.329
 2212 3128 3.42 0.329
 2212 9902216 3.42 0.329
 2212 9922214 3.42 0.329
 2212 9922114 3.42 0.329
 2212 1218 3.42 0.329
 2212 2128 3.42 0.329
 2212 9901118 3.42 0.329
 2212 9901218 3.42 0.329
 2212 9902128 3.42 0.329
 2212 9902228 3.42 0.329
 2212 99022110 3.42 0.329
 2212 99021110 3.42 0.329
 2212 1020000020 3.28946 0
 2212 33224 3.42 0.329
 2212 1020010020 3.28946 0
 2212 33214 3.42 0.329
 2212 33114 3.42 0.329
 2212 203338 3.42 0.329
 2212 99121110 3.42 0.329
 2212 99122110 3.42 0.329
 2212 4122 3.42 0.329
 2212 99031210 3.42 0.329
 2212 99011112 3.42 0.329
 2212 99012112 3.42 0.329
 2212 99022212 3.42 0.329
 2212 99021212 3.42 0.329
 2212 4212 3.42 0.329
 2212 4112 3.42 0.329
 2212 4222 3.42 0.329
 2212 4232 3.42 0.329
 2212 4132 3.42 0.329
 2212 4214 3.42 0.329
 2212 4224 3.42 0.329
 2212 4114 3.42 0.329
 2212 4322 3.42 0.329
 2212 4312 3.42 0.329
 2212 14122 3.42 0.329
 2212 99021112 3.42 0.329
 2212 99022112 3.42 0.329
 2212 1030000020 3.28946 0
 2212 1040000020 3.28946 0
 2212 104122 3.42 0.329
 2212 4324 3.42 0.329
 2212 4314 3.42 0.329
 2212 4332 3.42 0.329
 2212 4334 3.42 0.329
 2212 104324 3.42 0.329
 2212 104314 3.42 0.329
 2212 1000020030 3.1137 0
 2212 1000010030 3.1137 0
 2212 104322 3.42 0.329
 2212 104312 3.42 0.329
 2212 204126 3.42 0.329
 2212 1010010030 3.1137 0
 2212 1000020040 2.96202 0
 2212 100002004001 2.96202 0
 2212 100002004002 2.96202 0
 2212 100002004003 2.96202 0
 2212 100002004004 2.96202 0
 2212 1000030040 2.96202 0
 2212 100002004005 2.96202 0
 2212 100003004001 2.96202 0
 2212 100002004006 2.96202 0
 2212 1000010040 2.96202 0
 2212 101001004001 2.96202 0
 2212 100002004007 2.96202 0
 2212 100003004002 2.96202 0
 2212 100002004008 2.96202 0
 2212 100003004003 2.96202 0
 2212 101001004002 2.96202 0
 2212 101001004003 2.96202 0
 2212 100002004009 2.96202 0
 2212 100002004010 2.96202 0
 2212 100002004011 2.96202 0
 2212 100002004012 2.96202 0
 2212 100002004013 2.96202 0
 2212 100002004014 2.96202 0
 2212 100002004015 2.96202 0
 2212 1010020040 2.96202 0
 2212 1010010040 2.96202 0
 2212 1000030050 2.83603 0
 2212 1000020050 2.83603 0
 2212 100003005001 2.83603 0
 2212 100002005001 2.83603 0
 2212 10000305002 2.83603 0
 2212 100002005002 2.83603 0
 2212 1000010050 2.83603 0
 2212 1010020050 2.83603 0
 -2212 -2212 3.42 0.329
 -2212 -2112 3.42 0.329
 -2212 -3122 3.42 0.329
 -2212 -3222 3.42 0.329
 -2212 -3212 3.42 0.329
 -2212 -3112 3.42 0.329
 -2212 -2114 3.42 0.329
 -2212 -1114 3.42 0.329
 -2212 -2224 3.42 0.329
 -2212 -2214 3.42 0.329
 -2212 -3322 3.42 0.329
 -2212 -3312 3.42 0.329
 -2212 -3224 3.42 0.329
 -2212 -3214 3.42 0.329
 -2212 -3114 3.42 0.329
 -2212 -13122 3.42 0.329
 -2212 -12112 3.42 0.329
 -2212 -12212 3.42 0.329
 -2212 -1214 3.42 0.329
 -2212 -2124 3.42 0.329
 -2212 -3124 3.42 0.329
 -2212 -22112 3.42 0.329
 -2212 -22212 3.42 0.329
 -2212 -3324 3.42 0.329
 -2212 -3314 3.42 0.329
 -2212 -32114 3.42 0.329
 -2212 -31114 3.42 0.329
 -2212 -32224 3.42 0.329
 -2212 -32214 3.42 0.329
 -2212 -23122 3.42 0.329
 -2212 -2222 3.42 0.329
 -2212 -1112 3.42 0.329
 -2212 -2122 3.42 0.329
 -2212 -1212 3.42 0.329
 -2212 -32212 3.42 0.329
 -2212 -32112 3.42 0.329
 -2212 -13212 3.42 0.329
 -2212 -13112 3.42 0.329
 -2212 -13222 3.42 0.329
 -2212 -3334 3.42 0.329
 -2212 -33122 3.42 0.329
 -2212 -13114 3.42 0.329
 -2212 -13224 3.42 0.329
 -2212 -13214 3.42 0.329
 -2212 -2116 3.42 0.329
 -2212 -2216 3.42 0.329
 -2212 -12116 3.42 0.329
 -2212 -12216 3.42 0.329
 -2212 -13124 3.42 0.329
 -2212 -203322 3.42 0.329
 -2212 -203312 3.42 0.329
 -2212 -12114 3.42 0.329
 -2212 -12214 3.42 0.329
 -2212 -42112 3.42 0.329
 -2212 -42212 3.42 0.329
 -2212 -12224 3.42 0.329
 -2212 -11114 3.42 0.329
 -2212 -32124 3.42 0.329
 -2212 -22124 3.42 0.329
