# List of crossterms parameters to be used in the Crossterms excluded-volume HRG model
# Only particle pairs with a non-zero eigenvolume parameter are listed here
#         pdg_i          pdg_j   b_{ij}[fm^3]
           2212           2212              1
           2212           2112              1
           2212           3122              1
           2212           3222              1
           2212           3212              1
           2212           3112              1
           2212           2224              1
           2212           1114              1
           2212           2214              1
           2212           2114              1
           2212           3322              1
           2212           3312              1
           2212           3224              1
           2212           3214              1
           2212           3114              1
           2212          13122              1
           2212          12212              1
           2212          12112              1
           2212           3124              1
           2212           2124              1
           2212           1214              1
           2212           3324              1
           2212          22112              1
           2212          22212              1
           2212           3314              1
           2212          32224              1
           2212          32214              1
           2212          32114              1
           2212          31114              1
           2212          23122              1
           2212           2122              1
           2212           2222              1
           2212           1112              1
           2212           1212              1
           2212          32112              1
           2212          32212              1
           2212          13212              1
           2212          13222              1
           2212          13112              1
           2212          13114              1
           2212          13224              1
           2212          13214              1
           2212          33122              1
           2212           3334              1
           2212           2116              1
           2212           2216              1
           2212          12116              1
           2212          12216              1
           2212          23324              1
           2212          13124              1
           2212          23314              1
           2212          12214              1
           2212          22124              1
           2212          12224              1
           2212          21214              1
           2212          12114              1
           2212          11114              1
           2212          42212              1
           2212          42112              1
           2212          32124              1
           2212          31214              1
           2212          23212              1
           2212          23112              1
           2212          23222              1
           2212           3116              1
           2212           3216              1
           2212           3226              1
           2212          43122              1
           2212          53122              1
           2212           3126              1
           2212          13324              1
           2212          13314              1
           2212          13126              1
           2212        2211875              1
           2212        2111875              1
           2212     1000010020        1.44275
           2212          23124              1
           2212        2111900              1
           2212        2211900              1
           2212           1116              1
           2212           2126              1
           2212           2226              1
           2212           1216              1
           2212          22222              1
           2212          21112              1
           2212          22122              1
           2212          21212              1
           2212          13216              1
           2212          13226              1
           2212          13116              1
           2212          22224              1
           2212          22114              1
           2212          22214              1
           2212          21114              1
           2212          11116              1
           2212          12226              1
           2212          11216              1
           2212          12126              1
           2212          23114              1
           2212          23224              1
           2212          23214              1
           2212           1118              1
           2212           2228              1
           2212           2118              1
           2212          33314              1
           2212          33324              1
