441                                      # eta(c)(1S) (PDG2025 updated)
23                                       # 23 decay channels
0.1589          211 211 -211 -211 111 111 # eta_c -> 3(pi+pi-) pi0pi0 (PDG 15.89%)
0.0456          211 -211 111 111     # eta_c -> pi+pi- 2pi0 (PDG 4.55%)
0.043           221 211 211 -211 -211 # eta_c -> eta 2(pi+pi-) (PDG 4.30%)
0.034           321 -321 211 -211 111 # eta_c -> K+K- pi+pi- pi0 (PDG 3.40%)
0.0365          321 -321 111         # eta_c -> K+K- pi0  ~half of KKbar pi (PDG 7.13%)
0.0365          311 -311 111         # eta_c -> K0 Kbar0 pi0  ~half of KKbar pi
0.02            331 211 -211         # eta_c -> eta'(958) pi+pi- (PDG 2.02%)
0.0189          211 211 211 -211 -211 -211 # eta_c -> 3(pi+pi-) (PDG 1.89%)
0.0162          221 211 -211         # eta_c -> eta pi+pi- (PDG 1.62%)
0.0135          313 -313 211 -211    # eta_c -> K*0 Kbar*0 pi+pi- (PDG 1.35%)
0.0108          225 225              # eta_c -> f2(1270) f2(1270) (PDG 1.08%)
0.0096          211 211 -211 -211    # eta_c -> 2(pi+pi-) (PDG 0.96%)
0.0084          321 -321 211 211 -211 -211 # eta_c -> K+K- 2(pi+pi-) (PDG 0.84%)
0.0083          321 -321 211 -211    # eta_c -> K+K- pi+pi- (PDG 0.83%)
0.0054          311 -321 211 -211 211 # eta_c -> K0 K- pi+pi-pi+ (PDG ~half of 5.39%)
0.0054          -311 321 -211 211 -211 # eta_c -> Kbar0 K+ pi-pi+pi- (PDG ~half of 5.39%)
0.0037          2212 -2212 211 -211  # eta_c -> p pbar pi+pi- (PDG 0.37%)
0.0034          2212 -2212 111       # eta_c -> p pbar pi0 (PDG 0.34%)
0.0027          223 223              # eta_c -> omega omega (PDG 0.27%)
0.0018          333 333              # eta_c -> phi phi (PDG 0.18%)
0.0014          321 321 -321 -321    # eta_c -> 2(K+K-) (PDG 0.14%)
0.0013          2212 -2212           # eta_c -> p pbar (PDG 0.13%)
0.5147          211 -211 211 -211 111 111 111 # eta_c -> catch-all (unmeasured modes)

443                                      # J/psi(1S) (PDG2025 updated)
28                                       # 28 decay channels
0.0597          -11 11               # J/psi -> e+e- (PDG 5.97%)
0.0596          -13 13               # J/psi -> mu+mu- (PDG 5.96%)
0.0141          22 441               # J/psi -> gamma eta_c (PDG 1.41%)
0.0624          211 211 -211 -211 111 111 111 # J/psi -> 2(pi+pi-) 3pi0 (PDG 6.24%)
0.0422          211 211 -211 -211 111 # J/psi -> 2(pi+pi-) pi0 (PDG 4.22%)
0.0286          211 211 211 -211 -211 -211 111 # J/psi -> 3(pi+pi-) pi0 (PDG 2.86%)
0.02            211 -211 111         # J/psi -> pi+pi- pi0 (PDG 2.00%)
0.0188          211 -211 111 111 111 # J/psi -> pi+pi- 3pi0 (PDG 1.88%)
0.0161          211 211 -211 -211 111 111 # J/psi -> 2(pi+pi-) 2pi0 (PDG 1.61%)
0.0152          211 -211 111 321 -321 # J/psi -> pi+pi- pi0 K+K- (PDG 1.52%)
0.0117          221 211 -211 111     # J/psi -> eta pi+pi- pi0 (PDG 1.17%)
0.0112          323 -323 111         # J/psi -> K*(892)+ K*(892)- pi0 (PDG 1.12%)
0.009           211 211 211 211 -211 -211 -211 -211 111 # J/psi -> 4(pi+pi-) pi0 (PDG 0.90%)
0.0083          22 211 -211 111 111  # J/psi -> gamma pi+pi- 2pi0 (PDG 0.83%)
0.007           321 -321 211 -211    # J/psi -> K+K- pi+pi- (PDG 0.70%)
0.006           2212 -2212 211 -211  # J/psi -> p pbar pi+pi- (PDG 0.60%)
0.0053          22 331               # J/psi -> gamma eta'(958) (PDG 0.53%)
0.0047          321 -321 211 -211 221 # J/psi -> K+K- pi+pi- eta (PDG 0.47%)
0.0043          211 211 211 -211 -211 -211 # J/psi -> 3(pi+pi-) (PDG 0.43%)
0.0038          2112 -2112 211 -211  # J/psi -> n nbar pi+pi- (PDG 0.38%)
0.0032          211 211 -211 -211    # J/psi -> 2(pi+pi-) (PDG 0.32%)
0.0031          321 -321 211 211 -211 -211 # J/psi -> K+K- 2(pi+pi-) (PDG 0.31%)
0.0021          2212 -2212           # J/psi -> p pbar (PDG 0.21%)
0.0021          2112 -2112           # J/psi -> n nbar (PDG 0.21%)
0.0019          3122 -3122           # J/psi -> Lambda Lambdabar (PDG 0.19%)
0.0016          22 225               # J/psi -> gamma f2(1270) (PDG 0.16%)
0.0011          22 221               # J/psi -> gamma eta (PDG 0.11%)
