# Table 1 from 1407.6387 (HotQCD collaboration)
#T[MeV] I/T^4      p/T^4             e/T^4           s/T^3           CV/T^3           cs2
130 1.01(-10)(+19) 0.439(-44)(+65)   2.33(-16)(+33)  2.77(-20)(+39)  16.5(-0.9)(+3.0) 0.168(-15)(+6)
135 1.21(-21)(+23) 0.481(-67)(+69)   2.65(-35)(+38)  3.13(-41)(+44)  20.4(-3.0)(+3.1) 0.153(-10)(+12)
140 1.46(-24)(+25) 0.529(-72)(+75)   3.05(-41)(+43)  3.58(-47)(+50)  24.5(-3.2)(+3.4) 0.146(-8)(+9)
145 1.76(-27)(+28) 0.586(-78)(+82)   3.52(-46)(+48)  4.11(-52)(+55)  28.6(-3.4)(+3.6) 0.144(-6)(+7)
150 2.09(-29)(+30) 0.651(-85)(+89)   4.05(-50)(+52)  4.70(-58)(+60)  32.6(-3.6)(+3.6) 0.144(-6)(+7)
155 2.43(-31)(+32) 0.726(-93)(+97)   4.61(-54)(+56)  5.34(-62)(+65)  36.2(-3.6)(+3.5) 0.148(-7)(+7)
160 2.76(-32)(+32) 0.808(-100)(+105) 5.19(-57)(+59)  6.00(-66)(+68)  39.3(-3.4)(+3.3) 0.153(-8)(+9)
165 3.07(-32)(+31) 0.898(-108)(+112) 5.76(-59)(+60)  6.66(-69)(+70)  41.8(-3.2)(+3.0) 0.159(-9)(+10)
170 3.34(-31)(+30) 0.994(-115)(+118) 6.32(-60)(+60)  7.32(-70)(+71)  43.8(-2.9)(+2.7) 0.167(-10)(+10)
175 3.56(-29)(+28) 1.094(-121)(+124) 6.85(-60)(+60)  7.94(-71)(+71)  45.2(-2.6)(+2.4) 0.176(-11)(+10)
180 3.74(-27)(+25) 1.197(-126)(+129) 7.33(-59)(+59)  8.53(-71)(+70)  46.2(-2.4)(+2.1) 0.185(-11)(+10)
185 3.88(-25)(+23) 1.302(-130)(+133) 7.78(-58)(+57)  9.08(-71)(+71)  47.0(-2.2)(+1.9) 0.194(-11)(+10)
190 3.97(-22)(+19) 1.406(-134)(+136) 8.19(-57)(+56)  9.60(-69)(+68)  47.5(-1.9)(+1.7) 0.202(-10)(+10)
195 4.03(-19)(+16) 1.510(-137)(+139) 8.56(-56)(+54)  10.07(-68)(+67) 47.9(-1.7)(+1.6) 0.210(-10)(+10)
200 4.05(-16)(+14) 1.613(-140)(+141) 8.89(-54)(+52)  10.50(-67)(+65) 48.1(-1.6)(+1.5) 0.218(-10)(+10)
205 4.05(-14)(+14) 1.713(-142)(+143) 9.19(-52)(+50)  10.90(-65)(+63) 48.4(-1.5)(+1.6) 0.225(-10)(+10)
210 4.03(-15)(+15) 1.810(-143)(+143) 9.46(-50)(+48)  11.27(-64)(+62) 48.6(-1.6)(+1.6) 0.232(-10)(+10)
215 3.99(-16)(+16) 1.904(-144)(+144) 9.70(-48)(+47)  11.61(-62)(+60) 48.8(-1.6)(+1.7) 0.238(-10)(+9)
220 3.94(-17)(+17) 1.995(-144)(+144) 9.93(-47)(+46)  11.92(-61)(+59) 49.1(-1.7)(+1.8) 0.243(-9)(+9)
225 3.88(-18)(+17) 2.083(-145)(+144) 10.13(-46)(+45) 12.21(-59)(+58) 49.4(-1.8)(+1.8) 0.247(-9)(+8)
230 3.82(-18)(+18) 2.168(-145)(+144) 10.32(-45)(+44) 12.49(-59)(+58) 49.8(-1.8)(+1.9) 0.251(-8)(+8)
235 3.76(-19)(+18) 2.249(-144)(+143) 10.50(-45)(+44) 12.75(-59)(+58) 50.3(-1.9)(+1.9) 0.254(-8)(+7)
240 3.69(-19)(+19) 2.328(-144)(+143) 10.68(-44)(+44) 13.00(-58)(+58) 50.7(-1.9)(+1.9) 0.256(-8)(+7)
245 3.63(-20)(+19) 2.403(-144)(+143) 10.84(-44)(+44) 13.24(-58)(+57) 51.1(-1.9)(+1.9) 0.259(-7)(+7)
250 3.57(-20)(+20) 2.476(-143)(+142) 10.99(-44)(+44) 13.47(-57)(+57) 51.5(-1.9)(+1.9) 0.261(-7)(+6)
255 3.50(-21)(+20) 2.546(-143)(+142) 11.14(-44)(+44) 13.68(-57)(+57) 51.9(-1.9)(+1.9) 0.264(-7)(+6)
260 3.44(-21)(+21) 2.613(-143)(+142) 11.28(-44)(+44) 13.89(-58)(+57) 52.2(-1.9)(+1.9) 0.266(-7)(+6)
265 3.38(-21)(+21) 2.678(-142)(+141) 11.41(-44)(+44) 14.09(-58)(+57) 52.5(-1.9)(+1.8) 0.268(-6)(+6)
270 3.32(-21)(+21) 2.741(-142)(+141) 11.54(-44)(+44) 14.28(-57)(+57) 52.8(-1.8)(+1.8) 0.270(-6)(+6)
275 3.26(-21)(+21) 2.801(-141)(+141) 11.66(-44)(+44) 14.46(-57)(+57) 53.1(-1.8)(+1.8) 0.272(-6)(+5)
