# Table 5 from 1203.0784 (HotQCD collaboration)
#T[MeV]  chi2B  chi2Q       chi2S       chi11BS      chi11BQ     chi11QS
150 0.0790(57) 0.3736(126) 0.2358(225) -0.0415(60) 0.0187(29) 0.0929(61)
155 0.1026(77) 0.3998(158) 0.2770(260) -0.0587(69) 0.0221(24) 0.1031(68)
160 0.1247(98) 0.4258(198) 0.3208(289) -0.0767(75) 0.0242(23) 0.1173(70)
165 0.1470(109) 0.4513(232) 0.3645(322) -0.0949(81) 0.0259(21) 0.1332(78)
170 0.1662(111) 0.4734(240) 0.4067(334) -0.1115(84) 0.0269(21) 0.1491(84)
175 0.1849(99) 0.4964(222) 0.4567(314) -0.1304(79) 0.0270(19) 0.1655(83)
180 0.2024(74) 0.5118(179) 0.5013(259) -0.1497(66) 0.0263(17) 0.1782(77)
185 0.2182(56) 0.5239(144) 0.5449(215) -0.1682(57) 0.0249(19) 0.1892(76)
190 0.2326(52) 0.5379(115) 0.5888(181) -0.1860(56) 0.0233(22) 0.2005(72)
195 0.2445(55) 0.5522(84) 0.6289(210) -0.2005(60) 0.0220(21) 0.2122(68)
200 0.2524(46) 0.5638(68) 0.6623(222) -0.2116(52) 0.0205(21) 0.2235(70)
205 0.2570(41) 0.5717(57) 0.6884(210) -0.2200(38) 0.0186(18) 0.2335(67)
210 0.2604(38) 0.5770(55) 0.7113(194) -0.2267(31) 0.0168(15) 0.2424(62)
215 0.2637(36) 0.5792(63) 0.7282(155) -0.2335(32) 0.0152(14) 0.2486(51)
220 0.2676(35) 0.5809(84) 0.7438(148) -0.2397(35) 0.0140(12) 0.2537(57)
225 0.2713(28) 0.5824(63) 0.7565(113) -0.2456(34) 0.0128(12) 0.2576(56)
230 0.2749(27) 0.5841(64) 0.7672(116) -0.2511(33) 0.0119(12) 0.2606(56)
235 0.2784(23) 0.5855(56) 0.7760(105) -0.2564(28) 0.0109(10) 0.2628(48)
240 0.2819(20) 0.5873(46) 0.7847(92) -0.2613(24) 0.0101(8) 0.2649(39)
245 0.2852(20) 0.5890(45) 0.7934(98) -0.2664(23) 0.0093(8) 0.2667(37)
250 0.2885(20) 0.5907(45) 0.8020(98) -0.2710(23) 0.0085(7) 0.2688(34)
