# Temp  Chi2        error      Chi4      error       Chi6       error        Chi8      error
130.00 2.8924e-02 7.4187e-04 3.0401e-02 4.3420e-03 -3.3621e-02 6.2110e-02 -4.3032e-01 6.0008e-01
130.50 3.0018e-02 6.3051e-04 3.1054e-02 4.2115e-03 -2.7516e-02 5.5663e-02 -4.7581e-01 5.8399e-01
131.00 3.1118e-02 5.3295e-04 3.1722e-02 4.1096e-03 -2.1792e-02 4.9847e-02 -5.1996e-01 5.6931e-01
131.50 3.2224e-02 4.5037e-04 3.2408e-02 4.0180e-03 -1.6441e-02 4.4622e-02 -5.6275e-01 5.5599e-01
132.00 3.3337e-02 3.8421e-04 3.3115e-02 3.9325e-03 -1.1456e-02 3.9946e-02 -6.0420e-01 5.4398e-01
132.50 3.4458e-02 3.3592e-04 3.3844e-02 3.8517e-03 -6.8300e-03 3.5783e-02 -6.4430e-01 5.3322e-01
133.00 3.5589e-02 3.0603e-04 3.4595e-02 3.7749e-03 -2.5545e-03 3.2103e-02 -6.8304e-01 5.2367e-01
133.50 3.6732e-02 2.9305e-04 3.5369e-02 3.7018e-03 1.3777e-03 2.8880e-02 -7.2044e-01 5.1527e-01
134.00 3.7886e-02 2.9322e-04 3.6166e-02 3.6323e-03 4.9740e-03 2.6094e-02 -7.5649e-01 5.0798e-01
134.50 3.9054e-02 3.0172e-04 3.6986e-02 3.5662e-03 8.2420e-03 2.3732e-02 -7.9118e-01 5.0176e-01
135.00 4.0237e-02 3.1412e-04 3.7831e-02 3.5037e-03 1.1189e-02 2.1784e-02 -8.2448e-01 4.9650e-01
135.50 4.1436e-02 3.2717e-04 3.8700e-02 3.4445e-03 1.3823e-02 2.0241e-02 -8.5624e-01 4.9190e-01
136.00 4.2653e-02 3.3875e-04 3.9593e-02 3.3887e-03 1.6151e-02 1.9089e-02 -8.8647e-01 4.8779e-01
136.50 4.3888e-02 3.4764e-04 4.0511e-02 3.3362e-03 1.8181e-02 1.8306e-02 -9.1515e-01 4.8403e-01
137.00 4.5144e-02 3.5316e-04 4.1455e-02 3.2871e-03 1.9920e-02 1.7857e-02 -9.4229e-01 4.8052e-01
137.50 4.6422e-02 3.5509e-04 4.2423e-02 3.2411e-03 2.1375e-02 1.7692e-02 -9.6790e-01 4.7720e-01
138.00 4.7722e-02 3.5342e-04 4.3417e-02 3.1981e-03 2.2555e-02 1.7755e-02 -9.9196e-01 4.7406e-01
138.50 4.9047e-02 3.4836e-04 4.4435e-02 3.1581e-03 2.3467e-02 1.7983e-02 -1.0145e+00 4.7111e-01
139.00 5.0397e-02 3.4026e-04 4.5479e-02 3.1209e-03 2.4118e-02 1.8316e-02 -1.0355e+00 4.6842e-01
139.50 5.1773e-02 3.2955e-04 4.6548e-02 3.0862e-03 2.4515e-02 1.8701e-02 -1.0549e+00 4.6607e-01
140.00 5.3177e-02 3.1678e-04 4.7640e-02 3.0539e-03 2.4667e-02 1.9093e-02 -1.0728e+00 4.6422e-01
140.50 5.4610e-02 3.0256e-04 4.8757e-02 3.0238e-03 2.4581e-02 1.9460e-02 -1.0892e+00 4.6306e-01
141.00 5.6073e-02 2.8758e-04 4.9896e-02 2.9956e-03 2.4265e-02 1.9784e-02 -1.1043e+00 4.6280e-01
141.50 5.7567e-02 2.7261e-04 5.1058e-02 2.9692e-03 2.3733e-02 2.0066e-02 -1.1186e+00 4.6329e-01
142.00 5.9092e-02 2.5844e-04 5.2242e-02 2.9444e-03 2.2999e-02 2.0315e-02 -1.1319e+00 4.6429e-01
142.50 6.0649e-02 2.4589e-04 5.3445e-02 2.9209e-03 2.2077e-02 2.0542e-02 -1.1444e+00 4.6560e-01
143.00 6.2239e-02 2.3575e-04 5.4668e-02 2.8988e-03 2.0981e-02 2.0757e-02 -1.1559e+00 4.6706e-01
143.50 6.3862e-02 2.2865e-04 5.5907e-02 2.8779e-03 1.9724e-02 2.0964e-02 -1.1664e+00 4.6859e-01
144.00 6.5519e-02 2.2498e-04 5.7161e-02 2.8582e-03 1.8322e-02 2.1165e-02 -1.1761e+00 4.7010e-01
144.50 6.7210e-02 2.2480e-04 5.8429e-02 2.8397e-03 1.6787e-02 2.1354e-02 -1.1848e+00 4.7159e-01
145.00 6.8935e-02 2.2786e-04 5.9707e-02 2.8225e-03 1.5133e-02 2.1519e-02 -1.1926e+00 4.7308e-01
145.50 7.0693e-02 2.3360e-04 6.0993e-02 2.8066e-03 1.3374e-02 2.1648e-02 -1.1994e+00 4.7460e-01
146.00 7.2485e-02 2.4132e-04 6.2283e-02 2.7924e-03 1.1518e-02 2.1735e-02 -1.2052e+00 4.7604e-01
146.50 7.4311e-02 2.5028e-04 6.3576e-02 2.7799e-03 9.5715e-03 2.1777e-02 -1.2099e+00 4.7727e-01
147.00 7.6169e-02 2.5977e-04 6.4866e-02 2.7695e-03 7.5430e-03 2.1775e-02 -1.2135e+00 4.7821e-01
147.50 7.8059e-02 2.6919e-04 6.6149e-02 2.7614e-03 5.4396e-03 2.1731e-02 -1.2161e+00 4.7884e-01
148.00 7.9979e-02 2.7804e-04 6.7423e-02 2.7558e-03 3.2691e-03 2.1649e-02 -1.2176e+00 4.7914e-01
148.50 8.1931e-02 2.8594e-04 6.8681e-02 2.7530e-03 1.0389e-03 2.1532e-02 -1.2181e+00 4.7916e-01
149.00 8.3911e-02 2.9259e-04 6.9920e-02 2.7531e-03 -1.2434e-03 2.1387e-02 -1.2176e+00 4.7897e-01
149.50 8.5918e-02 2.9782e-04 7.1134e-02 2.7561e-03 -3.5703e-03 2.1217e-02 -1.2160e+00 4.7868e-01
150.00 8.7953e-02 3.0152e-04 7.2318e-02 2.7620e-03 -5.9342e-03 2.1029e-02 -1.2133e+00 4.7844e-01
150.50 9.0011e-02 3.0367e-04 7.3466e-02 2.7706e-03 -8.3276e-03 2.0826e-02 -1.2096e+00 4.7844e-01
151.00 9.2093e-02 3.0428e-04 7.4573e-02 2.7816e-03 -1.0743e-02 2.0614e-02 -1.2048e+00 4.7892e-01
151.50 9.4197e-02 3.0347e-04 7.5633e-02 2.7943e-03 -1.3173e-02 2.0396e-02 -1.1989e+00 4.7980e-01
152.00 9.6320e-02 3.0135e-04 7.6641e-02 2.8081e-03 -1.5610e-02 2.0174e-02 -1.1917e+00 4.8066e-01
152.50 9.8461e-02 2.9812e-04 7.7590e-02 2.8223e-03 -1.8046e-02 1.9949e-02 -1.1832e+00 4.8125e-01
153.00 1.0062e-01 2.9397e-04 7.8476e-02 2.8359e-03 -2.0475e-02 1.9723e-02 -1.1734e+00 4.8136e-01
153.50 1.0279e-01 2.8915e-04 7.9293e-02 2.8480e-03 -2.2889e-02 1.9495e-02 -1.1623e+00 4.8085e-01
154.00 1.0497e-01 2.8392e-04 8.0037e-02 2.8576e-03 -2.5280e-02 1.9263e-02 -1.1500e+00 4.7964e-01
154.50 1.0716e-01 2.7852e-04 8.0703e-02 2.8641e-03 -2.7642e-02 1.9024e-02 -1.1364e+00 4.7769e-01
155.00 1.0936e-01 2.7321e-04 8.1287e-02 2.8665e-03 -2.9967e-02 1.8776e-02 -1.1214e+00 4.7502e-01
155.50 1.1157e-01 2.6824e-04 8.1785e-02 2.8645e-03 -3.2247e-02 1.8513e-02 -1.1052e+00 4.7172e-01
156.00 1.1378e-01 2.6379e-04 8.2195e-02 2.8578e-03 -3.4476e-02 1.8233e-02 -1.0878e+00 4.6792e-01
156.50 1.1599e-01 2.6005e-04 8.2514e-02 2.8465e-03 -3.6646e-02 1.7930e-02 -1.0690e+00 4.6381e-01
157.00 1.1820e-01 2.5713e-04 8.2742e-02 2.8310e-03 -3.8749e-02 1.7602e-02 -1.0490e+00 4.5966e-01
157.50 1.2040e-01 2.5507e-04 8.2877e-02 2.8121e-03 -4.0778e-02 1.7251e-02 -1.0281e+00 4.5565e-01
158.00 1.2261e-01 2.5387e-04 8.2919e-02 2.7909e-03 -4.2728e-02 1.6881e-02 -1.0064e+00 4.5163e-01
158.50 1.2481e-01 2.5349e-04 8.2870e-02 2.7687e-03 -4.4592e-02 1.6502e-02 -9.8391e-01 4.4743e-01
159.00 1.2700e-01 2.5380e-04 8.2731e-02 2.7469e-03 -4.6363e-02 1.6120e-02 -9.6059e-01 4.4293e-01
159.50 1.2918e-01 2.5467e-04 8.2503e-02 2.7272e-03 -4.8035e-02 1.5741e-02 -9.3646e-01 4.3800e-01
160.00 1.3135e-01 2.5594e-04 8.2191e-02 2.7110e-03 -4.9601e-02 1.5371e-02 -9.1151e-01 4.3259e-01
160.50 1.3350e-01 2.5743e-04 8.1797e-02 2.6993e-03 -5.1056e-02 1.5014e-02 -8.8576e-01 4.2663e-01
161.00 1.3565e-01 2.5898e-04 8.1325e-02 2.6931e-03 -5.2393e-02 1.4673e-02 -8.5920e-01 4.2011e-01
161.50 1.3778e-01 2.6043e-04 8.0779e-02 2.6926e-03 -5.3604e-02 1.4349e-02 -8.3182e-01 4.1305e-01
162.00 1.3989e-01 2.6165e-04 8.0164e-02 2.6977e-03 -5.4685e-02 1.4040e-02 -8.0364e-01 4.0549e-01
162.50 1.4199e-01 2.6253e-04 7.9486e-02 2.7078e-03 -5.5628e-02 1.3746e-02 -7.7463e-01 3.9755e-01
163.00 1.4407e-01 2.6298e-04 7.8748e-02 2.7218e-03 -5.6428e-02 1.3463e-02 -7.4468e-01 3.8937e-01
163.50 1.4612e-01 2.6297e-04 7.7956e-02 2.7385e-03 -5.7081e-02 1.3191e-02 -7.1377e-01 3.8109e-01
164.00 1.4816e-01 2.6247e-04 7.7115e-02 2.7564e-03 -5.7582e-02 1.2931e-02 -6.8192e-01 3.7285e-01
164.50 1.5018e-01 2.6149e-04 7.6231e-02 2.7742e-03 -5.7926e-02 1.2682e-02 -6.4911e-01 3.6486e-01
165.00 1.5218e-01 2.6009e-04 7.5308e-02 2.7904e-03 -5.8110e-02 1.2450e-02 -6.1535e-01 3.5737e-01
165.50 1.5415e-01 2.5834e-04 7.4352e-02 2.8039e-03 -5.8128e-02 1.2242e-02 -5.8064e-01 3.5071e-01
166.00 1.5611e-01 2.5634e-04 7.3367e-02 2.8138e-03 -5.7976e-02 1.2067e-02 -5.4498e-01 3.4523e-01
166.50 1.5804e-01 2.5424e-04 7.2357e-02 2.8195e-03 -5.7652e-02 1.1944e-02 -5.0787e-01 3.4116e-01
167.00 1.5994e-01 2.5220e-04 7.1327e-02 2.8207e-03 -5.7163e-02 1.1896e-02 -4.6892e-01 3.3831e-01
167.50 1.6182e-01 2.5040e-04 7.0282e-02 2.8175e-03 -5.6516e-02 1.1944e-02 -4.2811e-01 3.3645e-01
168.00 1.6368e-01 2.4904e-04 6.9224e-02 2.8103e-03 -5.5719e-02 1.2102e-02 -3.8544e-01 3.3541e-01
168.50 1.6552e-01 2.4833e-04 6.8159e-02 2.7999e-03 -5.4781e-02 1.2374e-02 -3.4092e-01 3.3506e-01
169.00 1.6733e-01 2.4849e-04 6.7087e-02 2.7874e-03 -5.3710e-02 1.2758e-02 -2.9455e-01 3.3532e-01
169.50 1.6912e-01 2.4972e-04 6.6014e-02 2.7742e-03 -5.2514e-02 1.3244e-02 -2.4632e-01 3.3615e-01
170.00 1.7088e-01 2.5219e-04 6.4942e-02 2.7619e-03 -5.1202e-02 1.3817e-02 -1.9624e-01 3.3760e-01
170.50 1.7262e-01 2.5604e-04 6.3872e-02 2.7525e-03 -4.9780e-02 1.4464e-02 -1.4431e-01 3.3973e-01
171.00 1.7433e-01 2.6136e-04 6.2808e-02 2.7482e-03 -4.8259e-02 1.5172e-02 -9.0520e-02 3.4267e-01
171.50 1.7602e-01 2.6822e-04 6.1752e-02 2.7511e-03 -4.6645e-02 1.5936e-02 -3.4877e-02 3.4661e-01
172.00 1.7769e-01 2.7660e-04 6.0705e-02 2.7635e-03 -4.4947e-02 1.6755e-02 2.2620e-02 3.5175e-01
172.50 1.7933e-01 2.8647e-04 5.9668e-02 2.7875e-03 -4.3173e-02 1.7639e-02 8.1971e-02 3.5833e-01
173.00 1.8095e-01 2.9773e-04 5.8644e-02 2.8251e-03 -4.1331e-02 1.8605e-02 1.4318e-01 3.6662e-01
173.50 1.8255e-01 3.1029e-04 5.7633e-02 2.8779e-03 -3.9429e-02 1.9684e-02 2.0624e-01 3.7688e-01
174.00 1.8412e-01 3.2401e-04 5.6637e-02 2.9470e-03 -3.7477e-02 2.0915e-02 2.7115e-01 3.8938e-01
174.50 1.8567e-01 3.3875e-04 5.5657e-02 3.0331e-03 -3.5480e-02 2.2345e-02 3.3792e-01 4.0436e-01
175.00 1.8720e-01 3.5438e-04 5.4692e-02 3.1364e-03 -3.3449e-02 2.4031e-02 4.0654e-01 4.2202e-01
175.50 1.8871e-01 3.7074e-04 5.3746e-02 3.2546e-03 -3.1391e-02 2.6033e-02 4.7701e-01 4.4255e-01
176.00 1.9019e-01 3.8771e-04 5.2809e-02 3.4085e-03 -2.9314e-02 2.8410e-02 5.4934e-01 4.6607e-01
176.50 1.9166e-01 4.0515e-04 5.1898e-02 3.5562e-03 -2.7226e-02 3.1220e-02 6.2353e-01 4.9268e-01
177.00 1.9310e-01 4.2295e-04 5.1003e-02 3.7254e-03 -2.5136e-02 3.4516e-02 6.9956e-01 5.2243e-01
177.50 1.9452e-01 4.4099e-04 5.0126e-02 3.9097e-03 -2.3051e-02 3.8346e-02 7.7746e-01 5.5536e-01
178.00 1.9592e-01 4.5918e-04 4.9267e-02 4.1076e-03 -2.0981e-02 4.2749e-02 8.5720e-01 5.9146e-01
178.50 1.9730e-01 4.7742e-04 4.8426e-02 4.3181e-03 -1.8932e-02 4.7763e-02 9.3880e-01 6.3071e-01
179.00 1.9866e-01 4.9563e-04 4.7603e-02 4.5401e-03 -1.6914e-02 5.3417e-02 1.0223e+00 6.7309e-01
179.50 2.0000e-01 5.1374e-04 4.6798e-02 4.7729e-03 -1.4934e-02 5.9741e-02 1.1076e+00 7.1857e-01
180.00 2.0133e-01 5.3168e-04 4.6011e-02 5.0158e-03 -1.3000e-02 6.6761e-02 1.1947e+00 7.6709e-01
