# Lattice data of the Wuppertal-Budapest collaboration from 1309.5258
#T/MeV I/T^4   dI/T^4    p/T^4   dp/T^4  eps/T^4 deps/T^4    s/T^3   ds/T^3     cs^2    dcs^2
110 7.22E-01 5.04E-01 2.42E-01 1.15E-01 1.39E+00 6.00E-01 1.61E+00 6.79E-01 2.32E-01 7.58E-02
115 7.61E-01 4.16E-01 2.74E-01 1.13E-01 1.56E+00 5.48E-01 1.83E+00 6.11E-01 2.10E-01 7.04E-02
120 8.44E-01 3.24E-01 3.08E-01 1.13E-01 1.80E+00 4.97E-01 2.12E+00 5.53E-01 1.91E-01 5.75E-02
125 9.91E-01 2.34E-01 3.48E-01 1.13E-01 2.09E+00 4.49E-01 2.44E+00 5.05E-01 1.73E-01 3.96E-02
130 1.18E+00 2.08E-01 3.93E-01 1.11E-01 2.42E+00 4.21E-01 2.81E+00 4.86E-01 1.62E-01 2.28E-02
135 1.40E+00 2.81E-01 4.44E-01 1.05E-01 2.81E+00 4.39E-01 3.23E+00 5.04E-01 1.57E-01 1.37E-02
140 1.65E+00 3.81E-01 5.01E-01 9.78E-02 3.23E+00 4.83E-01 3.73E+00 5.43E-01 1.55E-01 1.36E-02
145 1.91E+00 4.50E-01 5.65E-01 8.95E-02 3.68E+00 5.12E-01 4.24E+00 5.72E-01 1.54E-01 1.46E-02
150 2.20E+00 4.60E-01 6.33E-01 8.23E-02 4.15E+00 4.95E-01 4.80E+00 5.62E-01 1.56E-01 1.35E-02
155 2.49E+00 3.90E-01 7.12E-01 7.70E-02 4.62E+00 4.13E-01 5.35E+00 4.94E-01 1.59E-01 1.07E-02
160 2.77E+00 2.95E-01 7.98E-01 7.35E-02 5.12E+00 3.09E-01 5.92E+00 4.12E-01 1.63E-01 7.73E-03
165 3.06E+00 2.19E-01 8.86E-01 7.02E-02 5.70E+00 2.35E-01 6.54E+00 3.51E-01 1.68E-01 5.66E-03
170 3.32E+00 1.98E-01 9.81E-01 6.66E-02 6.30E+00 1.95E-01 7.24E+00 3.27E-01 1.74E-01 4.34E-03
175 3.53E+00 1.85E-01 1.08E+00 6.30E-02 6.84E+00 1.86E-01 7.90E+00 3.07E-01 1.81E-01 3.71E-03
180 3.69E+00 1.60E-01 1.18E+00 6.00E-02 7.34E+00 1.97E-01 8.50E+00 2.82E-01 1.87E-01 4.39E-03
