# Table 1 from 1112.4416 (Wuppertal-Budapest collaboration)
#T/MeV  chi2I chi2U     chi2Q     chi2S     chi2B    chi11us      CBS
125 0.432(92) 0.268(39) 0.239(45) 0.085(37) 0.019(2) -0.0331(157) 0.2492(811)
130 0.481(87) 0.311(19) 0.269(44) 0.101(10) 0.027(8) -0.0376(80) 0.3442(492)
135 0.523(78) 0.359(15) 0.300(42) 0.124(15) 0.040(12) -0.0397(87) 0.4426(573)
140 0.566(59) 0.405(22) 0.327(34) 0.155(16) 0.055(15) -0.0438(112) 0.5040(355)
145 0.614(40) 0.448(30) 0.358(27) 0.190(19) 0.070(13) -0.0457(127) 0.5672(484)
150 0.641(34) 0.496(36) 0.376(17) 0.226(16) 0.087(11) -0.0469(118) 0.6416(442)
155 0.669(41) 0.548(24) 0.400(22) 0.261(20) 0.106(12) -0.0447(77) 0.7090(278)
160 0.696(25) 0.580(29) 0.420(20) 0.295(28) 0.124(8) -0.0407(74) 0.7575(152)
165 0.722(28) 0.618(21) 0.440(18) 0.346(26) 0.143(7) -0.0357(42) 0.8024(160)
170 0.747(20) 0.659(15) 0.460(14) 0.400(21) 0.160(5) -0.0320(28) 0.8398(163)
175 0.753(28) 0.699(17) 0.480(19) 0.441(23) 0.179(6) -0.0293(27) 0.8697(133)
180 0.780(31) 0.733(17) 0.499(18) 0.491(23) 0.194(6) -0.0277(28) 0.8931(89)
185 0.799(24) 0.760(16) 0.502(15) 0.533(21) 0.207(6) -0.0241(14) 0.9132(59)
190 0.810(17) 0.770(13) 0.513(10) 0.568(18) 0.218(5) -0.0227(21) 0.9317(38)
200 0.827(15) 0.799(15) 0.530(10) 0.636(15) 0.235(5) -0.0197(22) 0.9457(35)
220 0.860(13) 0.844(14) 0.561(9) 0.732(20) 0.259(4) -0.0151(17) 0.9616(52)
240 0.881(18) 0.868(16) 0.578(12) 0.791(22) 0.273(6) -0.0107(11) 0.9741(46)
260 0.890(16) 0.880(15) 0.586(11) 0.823(20) 0.282(5) -0.0073(10) 0.9822(54)
280 0.895(12) 0.888(12) 0.592(8) 0.845(12) 0.287(4) -0.0052(7) 0.9866(30)
300 0.900(14) 0.895(15) 0.596(9) 0.861(15) 0.291(5) -0.0040(6) 0.9889(27)
320 0.904(15) 0.900(16) 0.600(10) 0.873(15) 0.294(5) -0.0033(8) 0.9905(22)
340 0.908(14) 0.905(15) 0.603(9) 0.882(14) 0.297(5) -0.0028(11) 0.9920(20)
360 0.911(14) 0.908(14) 0.605(9) 0.889(14) 0.299(5) -0.0024(9) 0.9932(34)
380 0.913(15) 0.911(15) 0.607(10) 0.894(16) 0.300(5) -0.0018(10) 0.9943(39)
400 0.915(16) 0.913(17) 0.608(11) 0.899(16) 0.302(5) -0.0012(11) 0.9953(36)
